id,name,polyline
4745285,Paved Hiking/Bicycle Trail,y}nbGfds}NXPT\HVH^L^X`@p@t@\ZT`@PRTHPERMVFNCHEv]rqGLJT?XEPBVNVJXTT`@pXfIT]DK?C@ICEg@UMAURK?_@Qa@MYCwBBkAKU?k@LSNS^I^CV@TJd@Pp@?r@N\AD@lACNGNIJ[RwClAo@LcCR_@AUIUMU]K_@Ig@IaAEi@G[M[OQQKMCq@?aAGy@SWK[Sm@k@MUSm@EWAk@@a@DUVk@`@Y\g@pBoAt@k@TKf@GBEXm@RcBJ]PUXMTAZBt@ZZT~@|ARR^Lx@HTFJHNVNn@ZTRHREl@[HMF[Xs@T]TQn@W`AQdADn@SHMJQFg@e@o[A{@E[EOSS[k@SaAMqBI]sAyAUU]OSCSBKD]Le@AOIc@m@SOWEM@YLu@|@UROFsBV[?MCWQMQO]Ga@]mFK_AG[Mg@O[Yc@_@]KKQc@Ee@B]Pe@LOTKhBMf@SXU\k@\}@Hi@Ds@?a@Ck@OsAWyAUw@{@aCSo@Io@Ci@?u@Fa@JOXQX[R_ALcAC{AKiB_@mFIcAAkAJmAPmALi@Aa@U_@q@e@GIIMUs@OcAEeAOyDI{AU_ASa@Y]_@c@I[Ca@Fq@HsAFyA@eAIsAKoAGi@As@FwB@m@IeAGWESSm@c@u@m@k@kAs@??cBs@SKQMEGIKI[?I?S@YH_@tAcENc@HOLQJGNGTK\O^MRGRONWFe@Bk@Ao@Ky@Sa@Q[_@g@S_@e@iAaAiCSk@W_@O]Me@Ak@AgFEeAG}@MkC?m@Bo@\eCD]@c@Eg@Ik@K]Qa@O_@Qe@KOKASCOEKIKYGSCS?YDQ@SAWCQKQMKQKOIWGk@Gc@EOEKC]O[QUUOMEESKUIUKMOG_@C_@C[CYGa@Ek@?a@`AgGBe@Ew@Qq@Os@]aAIo@CaA@aCAgCCw@Bq@A{@Ei@KY??Sc@U]MW_@i@DK?MDk@?_@Sm@gE{Ic@sAIu@Gi@AwD?sBGcCMsEEgBBgFCcFGmFPuDBwN?{CHwAFkFFq@pBiPh@yCKaA_@a@k@Gu@P{@ViDb@y@Bu@?}BRmCFa@@SEMMQoBu@_Fk@kGSuEO}FCm@?aDLoBD]IUCQ?UR_KXcEZsERcBh@}Dv@yCv@{Bn@eA~@w@zCsBt@U|@Mv@S^a@@w@G}C?yAJqABiBQsA@e@Aa@I_Aa@_F[{BC}Cd@{EzAwJzEsZ
8626482,Lakelands Trail State Park,__abGnlx`OiBmCGIKG??WGIIiMsQqC}Da^sg@w@y@cCyD{@sAo@{Ag@sAQo@Oi@[qA_@{BKs@Gq@QqB}OctBs@cJo@mH_@oD??aAcO{@sJc@yG]eGQmBKaBOaCKsAMeBIgBEiD?sJHew@??GaVDas@?_M??@{@`@}zBA{H??A_TA_@??Ay@SoCKiBY}BGa@_DwOyAaHkT_bA}DsP}CuPO_AGgBGoCKgBAgf@A_a@Akk@?_I@Q@KDQDO@K@IAMCIEOCO?QGuj@?ma@???a@??D{Z?W?sG??@Q??KeT?cR???W??Fih@??Asj@?oS???W???gMFsCTuCVqB^wBpAkEjAiC`Sc]??P[??hCoEbAyBt@{BhAyEl@yFJwFVeL??@a@??NuFDmUAyP@[@UBQBQ@K?GCIGMMOEGAE@I@OJu@BWB_@?e@C}DJ_S??CeH??@oKAeFEcGEeDNgQ@qFEc]?e@??@uEAiF?oN?wFCoECsFMcEQiFeAmXg@oQWuDYcKQuFEsBy@gTo@qSaA}Y[eIY}Is@sRo@wUkAiZ??EsA??Q}FiBah@aB}g@c@e@Ow@??JcB??AcBBoBI_Be@sJQyDQaG?{DdAwW|Ckl@dBa^tAeZ??ZeGNaDEYMMCOpAwWLmAL_@Rg@JgDNuD?IECIEQKr@aC^wHNuBZeC`@cCh@qBj@cBfBsDzAwCtM{V??bAoB??pK_ShBmFrHm^DUpDyP|A{G\yAJaAVyAxBuKhHo[rD{QpEiUb@uB^uBnAcG|BaKrDqQViBpAeJ
8675436,South Lyon City Trail,{}fbG`xo}NLHfAl@xAn@tBt@dCf@~AZ`Ev@jNnCjCb@bANbADlB@jQW~Oa@`BEX]HIDABHBF@x@LGNIr@A??jABTHTFRF~BbA~@n@|@t@z@t@r@r@f@|@b@~@`@fA\jA`@lBR|AN`B@d@@RB|@B\B\DPJPHRDR?RCPCb@?f@@d@BPL^J\DTFhA@ZF`BIhBBRFTBP@REx@BdAnA|Wf@lKv@tRRjF
8692237,Polly Ann Trail,ehycGjfj{N?c@ImNAUCSIQU_@WY{@eA}DeEmB{AqAeAeB{@??aAc@aEoA}TcFsCw@mB_AaBkAmBmBeBsB_BqB??uCcDcBcAeCgAiA_@eDc@qBS{CQuC]_CAqFl@eGtA}BdAmCbBgCtAeC~@cEx@yJ`BqBXwB^gEj@qAFq@@y@AiBMaGUkMq@sDMgJa@uLo@cJ_@sDQgAG??U???iMm@sEMsBDcCRS@_~@~OS@O?kTVwEDuNT{BD??O@??wED{IJ}EJm@CoAGeAG}@OmReEyMuCaQ{DeLgCuBg@}EiAkIiB[GCAmDw@o@OUEsBc@CAOAqBSkBGsFJsFLkBAy@GeAQmAc@mAk@oA{@{A}AaC_Dk@o@QUOSSSw@mAw@_Bo@aBcAyCu@_DgBoGMe@??iAgEgAaEWeAKm@O}@Im@Iy@??Cc@CkAAe@C]?g@AcDEsBA{AUkTHoG\aFp@sJz@oMl@gIAw@Ku@[y@y@oACEo@y@Eg@Lc@`@Yl@QhBJL{CJsJQ{J[{MrAwEdAwCdAmEJgFG_JKuA?{B?{@I}@Du@B}@Gm@GwLIeFM}CEaBJo@E}CSmEIkHCaGIuAK_A]Ug@OGg@Fw@H}CEi@[k@gAKeAAuBHcAVQ@IQGuBc@uL}@mVmAa_@sAg_@]aJYsICs@E_COwCWsDm@cEk@yBq@yBi@}AgCeIaB{E}AkEkB_EuFgK_C_EsGkMqFaKsHiNmC_EwBwB{JyHkF{DsCqBiC{CcA}Ae@_Ai@qAsAuDkDoQ]iBk@gCwAkDiD{FeBiB}BuCwBiD}BkDy@i@[I{IsKkC{C_JqL{FwIiDqFiDoFqEiHeAgCa@eAuAqLqAiPcB_QkAuGkAuDgBwCoBaCeDoDiDwDaEcE[D]e@YS]k@i@m@g@QmUeMwMmH{Au@{FkCwFcBgCo@aFmAeOcEcN}DkYwHcB]oA[}By@ya@aKwCWwAUeBEeBEsANuAXgEdBwGbCiDjAkB\_@D}B@mBC_Au@oDoBwLeKm@sAuJaQ}BqEsDgE{DkCoD_BaDe@sDJ}AZeA^mA`AyItCwDTqAEiCKgEgAsCkA_EuC_EeDgDmC}B{@cAa@aAYiBWqAI_BAyBZ??a@H??o@Tk@ViAn@eAt@mCpBoDdD??YV??{BbBkD`BsBl@qDReDAiDUkE_AiHuAmCQcD\qCz@cC~AgGzEkEhBqCf@cDDuBFiA?kBHmB?}B?{@?W@oCTwDCuGRgJRsB?iMJiED_Js@_I_@eF_@uDO_AEqe@cDM?{BOOE{@QMGwCu@gCy@iOgFeKmDuGcBaBq@mDgAmMsE_LaEyGaCaWuIyFwCeD_CmKkIs@k@uA{@aGmEcFyD_GgEeAk@uD_DgFwDsDwCoN_KmK{ImKcIoF_EkHgF{HsG{LeJeNeK_GwEgP_MoAgAeC}AmAs@{Aw@qEu@iCM{DXcMvA??m@F??m@HkBb@sEnB_GjDERGZsApAmBfAmDvB_BvAw@bA_IzJkZp_@sz@`fA_D~DgM|O{l@tu@gDpDsAbAa@ZkAl@aa@`NaA^i@NiGhBeKlDsGnBeInCaLvDeHfEkFrF{JnIoClAan@tYsCbAcB`AmCrBgAn@mZbYuOxN}MvLwH~GkDpCkG|FmUlViLvL_NvNmBpAyF~BeLl@qL`A}Lj@gJ`@iM~@oFQgNeCyFu@aETyBl@oCtA{FjEqI~GmJtH_GpFaCtA}LnG}LnFoIbDgErB
8694541,Paint Creek Trail,yqbdG`n`{NlCI`@CpDMJCHKBK@K?e@Aa@?y@?IBI??PKxAcAdCgBrCqBrCsB~CuBlF{D~@gAl@u@PU`AaB~AsDhAgEvAwGdB_It@kDtByHz@cCjA}Ch@yAzDqJxCwHl@wA??Pe@??t@oB|FoMnAeChFoJ~HiLrFaIvAqBrC_EbFeItBuDrMeRlGmJlCcDpIgPfLsVdN_YfKaTfJoRzCoGzC}F??N[??|GwNhKgTte@qaAz@iAZcA^u@tAiC|AsBjBqBnB{AfBiAjAo@vAi@rAa@rA_@bDe@tCS~Ho@rXsB??d@C??fDQnCSfBSbL}@??b@E??vWoB??`@E??jDUt@GpAK??b@E??lL}@l@E??f@E??lAIfF}@pG{BfE_CtJgHpDgCjDcChAy@|EgDzFaEtAeA??XS??b@]jAaA??xDoCLYB[?WFKTER?@Jd@CNC|QwMzCqBdEsCLK??TU??nG{FHIjAuAFKhAgBv@qAt@sAhA{Bl@oAFKVk@jAaCfHiOnBgE
8699302,Clinton River Trail,o`gcG|nyzNXOu~FsdTEl@AJ]bC[jBi@|Bk@zBsAxDuAlDmBzEiBnEkA`Dy@jCo@lCe@bCUzAOrAOtAM`BKzBEhB?jB???v@??DzCNvCThCVbC^vBb@pBbAvDr@nBrB|EvAfDrAnDdAjExDzQxAdHrApGfAhFrC|MlB`JBRBJ??Nx@??BDB@??d@?`@@VPb@h@??LNFPBDLv@Nt@T~@^tADP?LANCJEHGNENCR@NFb@l@nCFZ@X?TCLSbA??ZnBPPRPx@bA^~A?\@j@b@`BrBxFp@nBJlAnBnDtAfCvFbKlAvBfT``@??d@v@??|@`B`C|DdClDlCdDPRFL?NAL?R@fBXA@HJ?P?dA@N@PPd@h@rFxGXZRVTBZC?T?NEB?J@LDJHJVJJLxNnQtWt[pNtQn@bAtA|BxAlCpClGdCvGFTFFR?L?@RL?LAD~BBJFPpEbMP`@J\x@jC~@pDzJ`b@vYlnAtA~FvBzIBb@?b@@L?XDNBLRRRTt@hCbApD??@LALATAP@DFTb@`BLj@DFDHJFLFFH??pClKjB|GbFxQhAfE~EzQ??JPJJNJHHBF?Z?JI@?L?JBPFPHLFL\pA??|L`d@??BHN@NB?^@^EPD~D@P?RJ?L?RAHAT?FFHl@Pl@HNHD~@EDBBD@bADzD?l@?NFJN?H???Pv@h@pBb@vBPjAHr@BNBVJ\HVHTH`@xAzLlMdiA??j@dF??zA~MrGdk@D^CVA^@FRb@aRjeHPbCZlEBX??H`A??HjAbAtM@Pj@hEf@zDHXvCrK~FjT??Pn@??l@zBHXbArDrLdb@vGrUb@xAdAhChBlCnAtA??LLJJ`@^??lBhB??h@h@LL|@z@??~FpF\XR^??~HpGbSbSlMjMdCzCNEPGTMP`AVbAxM`PbCtC`CrCr@v@xC|CdCrC
8723715,Red Trail,sts`HzopwODGHIFMDGFGFKDGBIDMBI@O?Q?U?O?UAO?KAI?OFQDS@QBQ@S@M?WAOCKCOAOAQAQ?M@M?OCOCOAKAO?KAOEIEOCIAKAICYEW?QCQCOCM@OBI?ICK?O@CAK?IAQCKEKGKCKCOASAUAQ@K?O@O?KAQCMCOCKAK@O@O@O@U?MBM@M@MBOBK@O?UESCYEOIWCUGWESCQCQEOIIKGECCMEOAQ?Q@Q@K@S@Q@Q@Y@Q@M?K?MCMCKCUCWCW?UCQEOAK?M@QAO?QAOCKCOEM?O@MBMAOEQEQEOCM?SDMHGDI@IAICMAG?G?KCCGGCG?KBGDG@ICKGMGICEAAAE@CBAB?BBD@@?B?@C?GCEEEECEEE@C@C?EBEBA?CAAC?GDCDAD?B?DCBABC@G?ACAE?CAACAG@EDCD?FAD?F?B?DCBADE@CBGBI@I@K?MAK?IAKAKCKAGCKAECM?IAK?MAIAIAI?MAGAKCMCCCSCKCK?MAK?O?KAMAKCMESEMAI?IAMAK@M@IBK?IBI@E@K@E@IBEBC@G?G?IAI?G?GBE@I@GAI?G?K?IAICICO?GAK?I@G@I@G@KAMAMAGAKAG?KCICKAKCGCGAKAGAK@GBM@I@K?I?ICGAK?I?O?K?IAGAMAIAIAEAGAICGCGCGCICIAEAK?K?I@K@I@K@O@M@M@G@K@E@K@K?IAG?GCEAIEIAIAGCG?G?GBCDI@C@G@G?I@G@GBI@K?EAKAG?G?G?M@I?K?K?IAG?M?MAK?KAKAGCECEEIAGAG?I@E?G?E?EEGEGCEAICKAK?I?I?K?MAM?KAI?M?MAK?MBO?G?IAMCICIAKCK?IAIAKAG?I@G@G?IAMCICKAIAEAE@I?K@K@MBO@M@M@I@K@K@GDADG@MDKBIDKFIDK@M?IAI?I@IBM?M?I@MBEBK@M@M@M?OAMCICYESCQEOCOCI?MAMCMAM?M@ODIFKDIBOBQ@KBOBU?QBWBOBUBO?OAQCKCGCICGCIAG?E?E@IDIBI@I@W?M?O?M?M@I?OAM@Q@M?O@O@OBO?M?M@M?Q?O?K?M?O?K?QAKEOAEbs|IihdTT^^h@H^Ft@INCRGZD^Nl@VFJV^JXBT@TAXBXVLHZZT^\Vx@^X?b@Jr@N\DPEX@TEXPRNXTVT\VLVPVl@Xj@b@h@VVVj@XR?NFZn@NJ`@j@Rd@d@Rh@Hb@K\DPLP^NVJNj@@JFVFZFh@HJh@JXNFl@^HVA`@Aj@Bh@LLNJZFrt`H}fbAE]EYOi@SYSU_@U]ASAs@?YC[Ik@Lc@LSJMMI]OUWBc@FU@W@UL[TEl@QZGZQPU@KBKZAbAWj@Qh@F\bVtw@MwBYiAc@aB]{@OwA?iARoAVqAd@aB`@sAF_AZ_@n@k@h@YVs@N_AFi@M_ANaAFeANYD[\_BR{A?{Aa@?i@Mw@Lk@No@Bg@S[e@U}@@_AHi@@m@??EWzmiGennAGNILIN@ZGZGXKd@KZIVEPGl@KZGZEn@Af@yHzZOAUQCCi@[UUIWG_@MQSK?YCYGOe@Mk@CUC[D_@NYP[@WGYQq@W]Gc@Cy@]o@c@_@I]Wa@So@_@]Gc@Ke@Ag@JYJWPMT@^BTCPK`@Ut@GVQ\CRAZDNCPKLBRHPHNHVl@x@ZTNPTFTRLL?^Kh@Ad@D\LTP\PRHJNJJLPNLLHH@N?LKLOLKLAPDTBdI?ZM`ASZc@x@UP[Ja@R]T_@Po@RUAa@Z]`@_@\MJIRKTUZOZE\?f@KVMJGVFXFPPDRCP@LLPFFBNBTAVA\?`@EVARId@OLELU\c@^WJI^QTI`@Ah@ERFrnhBvtmAPa@^o@FCHEDE?G?GGKGMAMFEDE@ENIHGDGDGFC??VIZCNa@Le@FS@YCe@N]JOHILENLRVXr@TVHFZUHWTONIJOFEHAF?FBDNDDB@@FCbCAPANEPGJIHMLWPCJILILE\AV@T?FKDK?SDQHQDa@Fa@D[?]Ec@DQA??]COAa@ESAOCOCYGM?Y?ECIEQAMEIGKCIEQG??UEIIAIH}@R_ABW?[AOQUCKEUC[Am@KaBEmBAcBCwD?_AC{@NcCnrHacDBl@?x@@jAHnA?fAB~@D`AL`ACn@Ah@If@?b@Bt@ERMd@GZA\CJEXKTOXIDMVMd@Wd@INAJ?R?V@J?JFTJ^FHBL??EXIL??QNQPOTIBU?KCKA??UIw@c@GGAM?MASFo@Dm@AQIaAMqACWDQ^o@Lc@BMPiABU?]Aa@AuA@S@SCa@AS@c@@SASAe@@g@@c@Fa@@QNm@@QAKBUJe@@OFGTQPEV@TGRIV?\ARQ@SB_@?SBMFIFMBOmq@kv[@b@IhBO~CBbEBzCo@V}@V[[I_AKeBsASYOI_BF_@?_D?Cu@wAQsB\_Cn@aB`CDcrb@ga`@M`@QT_@f@Wx@DNAXHJH@BFL@JDH?H?FAFCZGF?FCFCNM@AJ@D?BAB?B@H?BADA@@B?DA@?D@H?HFNBHADF@DRCNKNGDAB@DEdAS^KXQNIJi@L[b@k@ptRkqJa@PUBc@CYQEWD[Fa@IWC[D]Pm@Nm@\m@^g@ZS\GLQD_@Km@?_@Jg@Cc@?_@LWDa@@[Z_@HQAa@FSF[EWSMDS@[KOQOE_@MWDSFc@E]O[FWBUEOEOPQVYV]H]JYNMROJUHu@Pm@LQTGRGJ_@RGl@WVQAc@VYBWHUZIJEHCH[He@XYPBF\P@RO^]Xa@TKVCRKBY?[Fi@AUKk@@m@sFvJJf@NR^Bd@@NHJp@H^XJV@NRHl@C`@Kp@@VTJNANNJZAl@G`@WP_@E]?IROZDXJNCTQb@Ad@Hb@@b@OX@TERS@KTDTJLAXKXKZGZ?\GXKN@`@ERA^IZ}jByzNJOJAb@Df@D@HRb@TRNDLEV]N_@HCNBPELCNGNQRWTWNINAb@IXAPEHGFIBI@OAOAWEWAYE]EYQm@M[OOQKUI]EW\STOJWXK@OMYFSFM?YCGa@UQOIW@SJOJQROXSTMLMPIFSDkrOqek@CAK?QHMJWFIGc@IMA_@PQRKBO@III?MFK?QIQSWQQISGju{@_gB?sAEyAKy@Me@q@Og@w@w@sAkAkAgAqAu@kBU}@C_AJwAKwAIi@Tc@bAE`@^n@Mf@I^oAR}AJ}@QsALoA\cBVwATc@P[j@o@nA\xBJR?tB?vFpAw@?Of@Kx@IdBKx@UVg@XKXL\\t@?hBOz@An@IT[Di@Iw@d@{@r@WdAIdBOfAOp@J`AE^D`CC`@J^?^I^SFYn@AZF\?t@KVYFKb@?b@Bz@{vlDv`}K]DWHoA~A
8743161,Paved Bicycle Trail,mb~aGdrz|NHCHAP@GYKUO_@_@q@SWUSkDr@^AdAYdAW??VORUxCaIf@Uf@OVA??pBf@D@dAF~ABPCHGJKf@e@Ta@LWLWN[LSVe@LUf@{@z@}AlBmDXc@v@w@h@q@RQVMb@Q^If@M\GZOVWHMFUFu@F}@De@@MAMAGEEAAC?EAE?k@Nc@JUJUJo@d@UNSPSXSXKP[^UJUDMFQHUVo@~@KPGRE`@El@E^IXOZ]t@a@`A}@dCm@xAa@jA]pA|@gAZBd@LTPN^Bh@BbAHhAJpB?n@Ij@Sr@_@x@m@nAu@xAG~@@t@Dv@H|ACd@Q`@}@hBc@`A_@bAKn@?n@Dp@Pl@Bn@Kl@Q`@WV_@L_BLYBe@N??u@t@A@Y`@SL[ByGJWAUMEAo@SaCcA??FYDa@Bu@@k@Fi@??f@A\GVWFITo@L{@Ju@V}@P_@nAw@d@_AViBLq@@s@EoABe@PqA\kADS?QAUAW_@q@??Ck@De@??Lq@Ho@No@HQJ]L[NYPWR[VU???oAJiAFu@MaAO{@G}@HwANiAHg@F[Le@Ri@HQjAgDFg@@a@[kBOy@Es@HoAf@sAh@kAD}@OkAWcALcAb@m@^Wd@a@Lk@Ry@NcBX}APoA@e@IaA@cACqAAMCm@K}@Es@AYAo@Ay@?QBa@?QBW@GAu@Ba@Ce@Ou@e@_BG_ABuBFs@??^U\Q`@Qb@Gp@Wn@Kp@Gj@An@At@]TSh@e@rD}Cp@o@f@w@h@iAZkA??Fo@He@DYL[JWFMHF@PETE^Sr@e@l@
8750464,Tulip Trail,ynlaGnzf|Nx@_@fCGLEP_@XYd@Ml@qAHgA@oAA]kA}@Qq@_@UUaBLmAO_AYkBg@qBN_@nBiADOGi@@OF[n@g@Vs@MwAHyAl@uAb@uAg@}@e@Vm@@q@U[q@?wAeAg@mB?uAGmAh@G@a@P??_@pAAlBIz@k@fE?`CAtAAZDl@Nh@P\L`@LZNVPTZR^Vd@b@Zr@XnAD~@@\Bh@CpAMfBOnA]bBQx@@dA?BA\@ZBLBNFNFLJHHDHBH?H?FEFIDK@K@KCKIQIMKK[Qe@O
17699873,Inner Trail,w`d{Gdp}oORFb@a@ZWr@i@j@SXg@j@Gf@a@n@S`AMf@U`@?f@Mh@?h@Hh@Rv@Pn@s@Xo@CmBMqBEgCKyACyAAqBXgA\}@h@i@ZSx@KfAO|@Ex@a@hAW`A@d@_@|@Ur@ElAZ~@R`AM`@Kt@Yt@[l@Uv@K`AQlAYdB]j@SdAInAMt@M|@St@DpASdBId@WXcAJs@?mA?{@?i@HSBm@Dk@Bm@Lq@H[Jk@PcAZu@PeAPa@Z_@Je@f@y@n@iBBk@@o@J[Pc@Nm@N]X[TQh@e@R[V_@Z_@f@m@Za@Z}@j@w@NI^w@RWVk@VQN]VK\}@^sAV]G_@ZaARUXkAf@a@f@{@d@gAx@_C|@oCx@uBhAkDdBw@hDaB~e@s@pC}Ah]_@xBbBhBY~FkCl]vAlBpChCjFfA~BtDfGzCVrB?tBy@fDP
