relation_id,name,overpass_id
60759,Vermont,3600060759
61315,Massachusetts,3600061315
67213,New Hampshire,3600067213
161646,Arkansas,3600161646
161650,Iowa,3600161650
161638,Missouri,3600161638
161655,Kentucky,3600161655
161838,Tennessee,3600161838
161950,Alabama,3600161950
161943,Mississippi,3600161943
161991,Wyoming,3600161991
161993,Utah,3600161993
162050,Florida,3600162050
162068,West Virginia,3600162068
162110,Delaware,3600162110
162115,Montana,3600162115
162116,Idaho,3600162116
165473,Nevada,3600165473
165466,Wisconsin,3600165466
165471,Minnesota,3600165471
165476,Oregon,3600165476
165479,Washington,3600165479
165789,Michigan,3600165789
165794,Connecticut,3600165794
224045,North Carolina,3600224045
286898,United States Virgin Islands,3600286898
306001,Guam,3600306001
306004,Northern Mariana Islands,3600306004
392915,Rhode Island,3600392915
1116270,Alaska,3601116270
2177187,American Samoa,3602177187
4422604,Puerto Rico,3604422604
2185386,United States Minor Outlying Islands,3602185386
166563,Hawaii,3600166563
224042,Virginia,3600224042
162061,Ohio,3600162061
165475,California,3600165475
162112,Maryland,3600162112
162069,District of Columbia,3600162069
122586,Illinois,3600122586
61320,New York,3600061320
114690,Texas,3600114690
63512,Maine,3600063512
161644,Kansas,3600161644
161645,Oklahoma,3600161645
224922,Louisiana,3600224922
161648,Nebraska,3600161648
161961,Colorado,3600161961
161957,Georgia,3600161957
224040,South Carolina,3600224040
162014,New Mexico,3600162014
162018,Arizona,3600162018
224951,New Jersey,3600224951
161816,Indiana,3600161816
161653,North Dakota,3600161653
161652,South Dakota,3600161652
162109,Pennsylvania,3600162109
